Label,Ed (eV),Z,m (u),r (pm),rho (g/cm^3),E_coh (eV/atom),E_ioniz (eV),alpha (1/K),R (Ohm*m),T_melt (K),E (GPa),CN,l_bond (A)
Ag,19.16666667,47,107.8682,165,10.49,2.95,7.576281119,1.89e-05,1.6e-08,1234.93,83.0,12,2.9
Au,20.17,79,196.96657,174,19.3,3.81,9.225236421,1.42e-05,2.2e-08,1337.33,78.0,12,2.95
C1,31.0,6,12.011,67,3.51,7.84,11.26077898,7e-07,1e+18,3873.15,1050.0,4,1.54
C2,31.0,6,12.011,67,2.07,7.41,11.26077898,4e-07,7.599999999999999e-06,3873.15,15.85,3,1.42
Cd,9.8,48,112.414,161,8.65,1.16,8.994113208,3.08e-05,7e-08,594.22,50.0,12,3.18
Co,27.8,27,58.933194,152,8.9,4.39,7.880990647,1.3e-05,6e-08,1768.15,209.0,12,2.47
Cu,14.0,29,63.546,145,8.96,3.49,7.726563029,1.65e-05,1.7e-08,1357.77,130.0,12,2.53
Mg,11.0,12,24.305,145,1.738,1.51,7.645721725,2.5e-05,4.4e-08,923.15,45.0,12,3.17
Mo,27.0,42,95.95,190,10.28,6.82,7.092269726,4.8e-06,5e-08,2896.15,329.0,8,2.74
Nb,24.0,41,92.90637,198,8.57,7.57,6.758540243,7.3e-06,1.5e-07,2750.15,105.0,8,2.87
Pb,7.5,82,207.2,154,11.34,2.03,7.416671366,2.89e-05,2.1e-07,600.61,16.0,12,3.53
Ta,18.0,73,180.94788,200,16.65,8.1,7.887209208,6.3e-06,1.3e-07,3290.15,186.0,8,2.87
Ti,22.3,22,47.867,176,4.507,4.85,6.82798085,8.6e-06,4e-07,1941.15,116.0,14,2.99
V,34.33,23,50.9415,171,6.11,5.31,6.746103119,8.4e-06,2e-07,2183.15,128.0,8,2.58
Zn,9.2,30,65.38,142,7.14,1.35,9.394174016,3.02e-05,5.9e-08,692.68,108.0,12,2.87
