Label,Ed (eV),Z,m (u),r (pm),rho (g/cm^3),E_coh (eV/atom),E_ioniz (eV),alpha (1/K),R (Ohm*m),T_melt (K),E (GPa),CN,l_bond (A)
Ag,24.0,47,107.8682,165,10.49,2.95,7.576281119,1.89e-05,1.6e-08,1234.93,83.0,12,2.9
Al,16.0,13,26.9815384,118,2.7,3.39,5.985365726,2.31e-05,2.6e-08,933.47,70.0,12,2.86
Cu,25.0,29,63.546,145,8.96,3.49,7.726563029,1.65e-05,1.7e-08,1357.77,130.0,12,2.53
Fe,29.0,26,55.845,156,7.874,4.28,7.902755613,1.18e-05,9.7e-08,1811.15,211.0,8,2.48
Ge,21.0,32,72.63,125,5.323,3.85,7.897573478,6e-06,0.0005,1211.45,103.0,4,2.46
Nb,28.0,41,92.90637,198,8.57,7.57,6.758540243,7.3e-06,1.5e-07,2750.15,105.0,8,2.87
Ni,27.0,28,58.6934,149,8.908,4.44,7.639503164,1.34e-05,7e-08,1728.15,200.0,12,2.46
Si,23.0,14,28.085,111,2.33,4.63,8.151498085,2.6e-06,0.001,1687.15,47.0,12,2.7
Ti,23.0,22,47.867,176,4.507,4.85,6.82798085,8.6e-06,4e-07,1941.15,116.0,14,2.99
V,26.0,23,50.9415,171,6.11,5.31,6.746103119,8.4e-06,2e-07,2183.15,128.0,8,2.58
W,48.0,74,183.84,193,19.25,8.9,7.980487635,4.5e-06,5e-08,3695.15,411.0,8,2.75
Zr,20.0,40,91.224,206,6.511,6.25,6.634169007,5.7e-06,4.2e-07,2128.15,68.0,12,3.22
