label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
LaPO4_La,56.0,300,57,9,0.17,2.64,5.07,138.90547,240
LaPO4_O,8.0,300,8,4,0.66,2.1,5.07,15.999,48
LaPO4_P,75.0,300,15,4,0.17,1.54,5.07,30.973762,98
LiAlO2_Al,79.0,0,13,6,0.25,1.91,3.44,26.9815384,118
LiAlO2_Li,28.0,0,3,6,0.25,2.09,3.44,6.94,167
LiAlO2_O,52.0,0,8,6,0.5,2.0,3.44,15.999,48
LiF_Li,1.64,77,3,6,0.5,2.04,2.53,6.94,167
LiFe5O8_Fe,31.6,0,26,5,0.36,2.0,4.5,55.845,156
LiFe5O8_Li,38.9,0,3,6,0.07,2.13,4.5,6.94,167
LiFe5O8_O,34.6,0,8,4,0.57,2.07,4.5,15.999,48
MgO_Mg,85.0,0,12,6,0.5,2.1,3.63,24.305,145
MgO_Mg,115.0,10,12,6,0.5,2.1,3.63,24.305,145
MgO_O,80.0,0,8,6,0.5,2.1,3.63,15.999,48
MgO_O,63.4,10,8,6,0.5,2.1,3.63,15.999,48
Mo_Mo,45.5,300,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,40.0,4.2,42,8,1.0,2.74,10.28,95.95,190
NaCl_Cl,41.0,0,17,6,0.5,2.79,2.22,35.45,79
NaCl_Cl,22.5,331,17,6,0.5,2.79,2.22,35.45,79
NaCl_Na,28.0,0,11,6,0.5,2.79,2.22,22.98976928,190
NaCl_Na,80.0,331,11,6,0.5,2.79,2.22,22.98976928,190
Nb_Nb,40.0,300,41,8,1.0,2.87,8.57,92.90637,198
Nb_Nb,41.0,50,41,8,1.0,2.87,8.57,92.90637,198
Nb_Nb,39.0,600,41,8,1.0,2.87,8.57,92.90637,198
Ni3Al_Al,47.5,0,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Al,44.0,100,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Ni,38.230000000000004,0,28,12,0.75,2.49,7.71,58.6934,149
Ni3Al_Ni,36.0,100,28,12,0.75,2.49,7.71,58.6934,149
NiCo_Co,38.0,0,27,8,0.5,2.43,8.88,58.933194,152
NiCo_Ni,35.67,0,28,8,0.5,2.43,8.88,58.6934,149
Ni_Ni,35.0,0,28,12,1.0,2.46,8.908,58.6934,149
Ni_Ni,50.5,10,28,12,1.0,2.46,8.908,58.6934,149
SiC_C,21.06833333333333,0,6,4,0.5,1.89,3.23,12.011,67
SiC_C,36.25,10,6,4,0.5,1.89,3.23,12.011,67
SiC_C,25.5,100,6,4,0.5,1.89,3.23,12.011,67
SiC_C,49.5,150,6,4,0.5,1.89,3.23,12.011,67
SiC_C,32.621818181818185,300,6,4,0.5,1.89,3.23,12.011,67
SiC_C,16.3,55,6,4,0.5,1.89,3.23,12.011,67
SiC_Si,54.46666666666667,0,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,48.75,10,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,46.2,100,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,74.5,150,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,49.26636363636363,300,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,92.6,55,14,4,0.5,1.89,3.23,28.085,111
SiO2_O,29.0,0,8,2,0.67,1.6,2.63,15.999,48
SiO2_Si,71.0,0,14,4,0.33,1.6,2.63,28.085,111
Si_Si,14.31625,0,14,12,1.0,2.7,2.33,28.085,111
SrO_O,67.0,0,8,6,0.5,2.58,4.99,15.999,48
SrO_Sr,49.0,0,38,6,0.5,2.58,4.99,87.62,219
SrTiO3_O,36.0,0,8,6,0.6,2.5,5.0368915,15.999,48
SrTiO3_O,50.0,300,8,6,0.6,2.5,5.0368915,15.999,48
SrTiO3_Sr,54.0,0,38,12,0.2,2.77,5.0368915,87.62,219
SrTiO3_Sr,70.0,300,38,12,0.2,2.77,5.0368915,87.62,219
SrTiO3_Ti,140.0,300,22,6,0.2,1.96,5.0368915,47.867,176
Ta0.70W0.30_Ta,68.0,0,73,4,0.7,2.78,17.99,180.94788,200
Ta0.75W0.25_Ta,72.0,0,73,4,0.75,2.78,17.99,180.94788,200
Ta0.80W0.20_Ta,76.0,0,73,4,0.8,2.78,17.99,180.94788,200
Ta0.85W0.15_Ta,70.0,0,73,4,0.85,2.78,17.99,180.94788,200
Ta0.90W0.10_Ta,65.0,0,73,4,0.9,2.78,17.99,180.94788,200
Ta0.95W0.05_Ta,50.0,0,73,4,0.95,2.78,17.99,180.94788,200
Ta_Ta,60.0,0,73,8,1.0,2.87,16.65,180.94788,200
ThO2_O,25.17,100,8,4,0.67,2.43,9.98,15.999,48
ThO2_Th,54.5,100,90,8,0.33,2.43,9.98,232.0377,237
Ti3SiC2_C,28.0,0,6,6,0.33,2.19,4.5,12.011,67
Ti3SiC2_Si,31.0,0,14,6,0.17,2.7,4.5,28.085,111
Ti3SiC2_Ti,26.0,0,22,6,0.5,2.4,4.5,47.867,176
TiO2_O,40.0,160,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_O,19.0,300,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_Ti,105.0,160,22,6,0.333333333,1.96,4.24,47.867,176
TiO2_Ti,69.0,300,22,6,0.333333333,1.96,4.24,47.867,176
Ti_Ti,29.0,0,22,14,1.0,2.99,4.507,47.867,176
Ti_Ti,31.0,100,22,14,1.0,2.99,4.507,47.867,176
U1_U,71.0,300,92,8,1.0,2.48,19.05,238.02891,240
U1_U,66.3,600,92,8,1.0,2.48,19.05,238.02891,240
U2_U,51.96666666666667,800,92,8,1.0,2.9,21.15,238.02891,240
UO2_O,32.5,1500,8,4,0.67,2.36,11.06,15.999,48
UO2_O,20.0,300,8,4,0.67,2.36,11.06,15.999,48
UO2_U,42.5,1500,92,8,0.33,2.36,11.06,238.02891,240
UO2_U,50.0,300,92,8,0.33,2.36,11.06,238.02891,240
V0.8Cr0.1Ti0.1_V,28.0,300,23,6,0.8,2.6,6.2,50.9415,171
V0.9Cr0.05Ti0.05_V,38.0,300,23,6,0.9,2.6,6.2,50.9415,171
V0.9Cr0.1_V,30.0,300,23,8,0.9,2.51,7.01,50.9415,171
V0.9Ti0.1_V,30.0,300,23,8,0.9,2.7,5.39,50.9415,171
V_V,29.276666666666667,300,23,8,1.0,2.58,6.11,50.9415,171
W_W,53.666666666666664,10,74,8,1.0,2.75,19.25,183.84,193
W_W,85.0,30,74,8,1.0,2.75,19.25,183.84,193
