Method,label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
exp,Ag_Ag,30.0,10,47,12,1.0,2.9,10.49,107.8682,165
exp,Ag_Ag,28.0,20,47,12,1.0,2.9,10.49,107.8682,165
exp,Ag_Ag,27.0,30,47,12,1.0,2.9,10.49,107.8682,165
exp,Ag_Ag,24.0,7,47,12,1.0,2.9,10.49,107.8682,165
exp,Ag_Ag,24.0,75,47,12,1.0,2.9,10.49,107.8682,165
exp,Al2O3_Al,23.0,293,13,6,0.4,1.9141,3.98,26.9815384,118
exp,Al2O3_Al,45.0,77,13,6,0.4,1.9141,3.98,26.9815384,118
exp,Al2O3_O,61.5,293,8,4,0.6,1.9141,3.98,15.999,48
exp,Al2O3_O,80.0,77,8,4,0.6,1.9141,3.98,15.999,48
exp,Al_Al,16.0,10,13,12,1.0,2.86,2.7,26.9815384,118
exp,Al_Al,32.0,20,13,12,1.0,2.86,2.7,26.9815384,118
exp,Al_Al,16.0,4.2,13,12,1.0,2.86,2.7,26.9815384,118
exp,Al_Al,19.0,8,13,12,1.0,2.86,2.7,26.9815384,118
exp,Au_Au,34.5,10,79,12,1.0,2.95,19.3,196.96657,174
exp,BaTiO3_O,45.0,293,8,6,0.6,2.553333333,6.02,15.999,48
exp,BiTe_Bi,13.0,20,83,6,0.5,3.25,8.12,208.9804,143
exp,C1_C,35.0,15,6,4,1.0,1.54,3.53,12.011,67
exp,C1_C,43.37,293,6,4,1.0,1.54,3.53,12.011,67
exp,CaO_O,58.0,293,8,6,0.5,2.4,3.35,15.999,48
exp,CaTiO3_2_O,45.0,293,8,6,0.6,2.48,3.84,15.999,48
exp,CaTiO3_Ca,82.0,300,20,8,0.2,2.51,4.03,40.078,194
exp,CaTiO3_Ti,69.0,300,22,6,0.2,1.96,4.03,47.867,176
exp,CaZrO3_Ca,21.0,293,20,12,0.2,2.94,4.14,40.078,194
exp,CaZrO3_O,53.0,293,8,6,0.6,2.653333333,4.14,15.999,48
exp,CaZrO3_Zr,9.3,293,40,6,0.2,2.08,4.14,91.224,206
exp,CaZrTi2O7_Ca,18.0,293,20,8,0.090909091,2.515,4.3,40.078,194
exp,CaZrTi2O7_O,45.0,293,8,4,0.636363636,2.238333333,4.3,15.999,48
exp,CaZrTi2O7_Ti,15.0,293,22,6,0.181818182,2.0,4.3,47.867,176
exp,CaZrTi2O7_Zr,7.8,293,40,7,0.090909091,2.2,4.3,91.224,206
exp,CdS_Cd,7.3,293,48,4,0.5,2.55,4.7,112.414,161
exp,CdS_S,9.0,293,16,4,0.5,2.55,4.7,32.06,88
exp,CdSe_Cd,8.1,5,48,4,0.5,2.66,5.48,112.414,161
exp,CdSe_Cd,6.0,77,48,4,0.5,2.66,5.48,112.414,161
exp,CdSe_Se,8.6,5,34,4,0.5,2.66,5.48,78.971,103
exp,CdSe_Se,8.6,77,34,4,0.5,2.66,5.48,78.971,103
exp,CdTe_Cd,5.6,15,48,4,0.5,2.84,5.64,112.414,161
