Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
BN,N,Kotakoski_2010,AIMD,h,23.06,7,0.56,14.0067,0.5,3,1.45,1.96,NR
BN,B,Kotakoski_2010,HRTEM,h,12.92,5,0.87,10.811,0.5,3,1.45,1.96,NR
BN,N,Kotakoski_2010,HRTEM,h,15,7,0.56,14.0067,0.5,3,1.45,1.96,NR
BN,B,Zobelli_2007,CSS,h,44.67,5,0.87,10.811,0.5,3,1.45,1.96,NR
BN,N,Zobelli_2007,CSS,h,91.67,7,0.56,14.0067,0.5,3,1.45,1.96,NR
C1,C,Koike_1992,HVEM,diamond,43.37,6,0.67,12.011,1,4,1.54,3.53,293
C1,C,Bourgoin_1976,CSA,diamond,35,6,0.67,12.011,1,4,1.54,3.53,15
C1,C,Steeds_2011,RM,diamond,31,6,0.67,12.011,1,4,1.54,3.53,NR
C1,C,Steeds_2011,AE,diamond,31,6,0.67,12.011,1,4,1.54,3.53,NR
C1,C,Delgado_2011,MD,diamond,70,6,0.67,12.011,1,4,1.54,3.53,NR
C2,C,Zobelli_2007,CSS,graphite,282,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Steffen_1992,steffen,graphite,35,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Marton_1993,Auger spec,graphite,35,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Montet_1970,etch pits,graphite,31,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Egerton_1977,TEM,graphite,34,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Iwata_1971,RM,graphite,36,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Marton_1993,Auger spec,graphite,35,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Montet_1970,etch pits,graphite,31,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Egerton_1977,TEM,graphite,34,6,0.67,12.011,1,3,1.42,1.94,NR
C2,C,Iwata_1971,RM,graphite,36,6,0.67,12.011,1,3,1.42,1.94,NR
C3,C,Crespi_1996,MD,nanotube,31.13,6,0.67,12.011,1,3,1.42,1.94,0
C3,C,Krasheninnikov_2005,MD,graphene,22,6,0.67,12.011,1,3,1.42,1.94,NR
C3,C,Merrill_2015,MD,nanotube,22,6,0.67,12.011,1,3,1.42,1.94,NR
C3,C,Banhart_2005,MD,graphene,19,6,0.67,12.011,1,3,1.42,1.94,600
C3,C,Zhang_2012,MD,nanotube,18,6,0.67,12.011,1,3,1.42,1.94,NR
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2,Ca,Meis_2001,MD,report,0.7,20,1.94,40.078,0.21,1,2.264,3.32,NR
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2,P,Meis_2001,MD,report,2.6,15,0.98,30.973762,0.12,4,2.264,3.32,NR
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2,Nd,Meis_2001,MD,report,1.1,60,2.06,144.242,0.01,1,2.264,3.32,NR
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2,Si,Meis_2001,MD,report,3.7,14,1.11,28.0855,0.02,4,2.264,3.32,NR
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2,O,Meis_2001,MD,report,0.9,8,0.48,15.999,0.57,1,2.264,3.32,NR
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2,F,Meis_2001,MD,report,0.3,9,0.42,18.998403,0.05,1,2.264,3.32,NR
Ca9Nd0.5Pu0.5(SiO4)(PO4)5F2,Pu,Meis_2001,MD,report,1.2,94,1.75,244,0.01,1,2.264,3.32,NR
CaF2,Ca,Morris_2020,MD,cubic,23,20,1.94,40.078,0.5,8,2.39,3.09,NR
CaF2,F,Morris_2020,MD,cubic,10,9,0.42,18.998403,0.5,4,2.39,3.09,NR
CaO,O,Caulfield_1995,TRCS,cubic,58,8,0.48,15.999,0.5,6,2.4,3.35,293
CaTiO3,Ca,Smith_2005,HARECXS,Pcmn,82,20,1.97,40.078,0.2,8,2.51,4.03,300
CaTiO3,Ti,Smith_2005,HARECXS,Pcmn,69,22,1.76,47.867,0.2,6,1.96,4.03,300
CaTiO3_2,O,Cooper_2001,TRCS,cubic,45,8,0.48,15.999,0.6,6,2.48,3.84,293
CaZrO3,O,Smith_2003,TRCS,cubic,53,8,0.48,15.999,0.6,6,2.653333333,4.14,293
