Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
La2Zr2O7,Zr,Smith_2003,TRCS,Fd-3m,8.2,40,2.06,91.224,0.181818182,6,2.11,6.02,293
La2Zr2O7,O,Chartier_2003,MD,Fd-3m,49.33333333,8,0.48,15.999,0.636363636,4,2.45125,6.02,350
La2Zr2O7,La,Chartier_2003,MD,Fd-3m,153,57,1.95,138.90547,0.181818182,8,2.565,6.02,350
La2Zr2O7,Zr,Chartier_2003,MD,Fd-3m,188,40,2.06,91.224,0.181818182,6,2.11,6.02,350
LaPO4,La,Ji_2017,MD,TBA,56,57,1.95,138.90547,0.17,9,2.64,5.07,300
LaPO4,P,Ji_2017,MD,TBA,75,15,0.98,30.973762,0.17,4,1.54,5.07,300
LaPO4,O,Ji_2017,MD,TBA,8,8,0.48,15.999,0.66,4,2.1,5.07,300
Li2TiO3,Li,RajanSahoo_2021,MD,beta,12,3,1.67,6.941,0.3,6,2.13,3.46,NR
Li2TiO3,Ti,RajanSahoo_2021,MD,beta,31.3,22,1.87,47.867,0.2,6,1.96,3.46,NR
Li2TiO3,O,RajanSahoo_2021,MD,beta,58.7,8,0.48,15.999,0.5,6,2.04,3.46,NR
LiAlO2,Li,Tsuchihira_2013,MD,alpha,33,3,1.67,6.941,0.25,6,2.09,3.44,0
LiAlO2,O,Tsuchihira_2013,MD,alpha,80,8,0.48,15.999,0.5,6,2,3.44,0
LiAlO2,Al,Tsuchihira_2013,MD,alpha,78,13,1.43,26.9815,0.25,6,1.91,3.44,0
LiAlO2,Li,Tsuchihira_2013,MD,beta,29,3,1.67,6.941,0.25,4,3,2.53,0
LiAlO2,O,Tsuchihira_2013,MD,TBA,39,8,0.48,15.999,0.5,4,3,2.53,0
LiAlO2,Al,Tsuchihira_2013,MD,TBA,75,13,1.43,26.9815,0.25,4,3,2.53,0
LiAlO2,Li,Tsuchihira_2013,MD,gamma,22,3,1.67,6.941,0.25,4,1.98,4.59,0
LiAlO2,O,Tsuchihira_2013,MD,gamma,37,8,0.48,15.999,0.5,4,1.87,4.59,0
LiAlO2,Al,Tsuchihira_2013,MD,gamma,84,13,1.43,26.9815,0.25,4,1.76,4.59,0
LiF,Li,Herrmann_1974,MD,TBA,1.64,3,1.67,6.941,0.5,6,2.04,2.53,77
LiFe5O8,Fe,Tan_2021,AIMD,TBA,31.6,26,1.94,55.845,0.36,5,2,4.5,0
LiFe5O8,Li,Tan_2021,AIMD,TBA,38.9,3,1.67,6.941,0.07,6,2.13,4.5,0
LiFe5O8,O,Tan_2021,AIMD,TBA,34.6,8,0.48,15.999,0.57,4,2.07,4.5,0
LiNbO3,O,Hodgson_1988,OAL,TBA,53,8,0.48,15.999,0.6,3,2.1,4.39,288
Lu,Lu,Daou_1977,RM,h,17,71,2.17,174.967,1,12,3.46,9.841,4.15
Mg,Mg,O'Neal_1972,HVEM,hcp,10,12,1.6,24.305,1,12,3.17,1.738,4.2
Mg,Mg,Faust_1969,HVEM,hcp,10,12,1.6,24.305,1,12,3.17,1.738,4.2
Mg,Mg,Karim_1978,HVEM,hcp,11,12,1.6,24.305,1,12,3.17,1.738,NR
Mg,Mg,Hossain_1977,HVEM,hcp,11.33333333,12,1.6,24.305,1,12,3.17,1.738,293
MgAl2O4,Mg,Williford_1988,MD,spinel,60,12,1.73,24.305,0.142857143,4,1.94,3.58,NR
MgAl2O4,Al,Williford_1988,MD,spinel,51,13,1.84,26.9815,0.285714286,6,1.92,3.58,NR
MgAl2O4,O,Williford_1988,MD,spinel,46.2,8,0.48,15.999,0.571428571,4,1.92,3.58,NR
MgAl2O4,O,Summers_1980,TRCS,spinel,59,8,0.48,15.999,0.571428571,4,1.92,3.58,77
MgO,O,Williford_1998,MD,cubic,41.5,8,0.48,15.999,0.5,6,2.1,3.63,NR
MgO,Mg,Williford_1998,MD,cubic,47.5,12,1.6,24.305,0.5,6,2.1,3.63,NR
MgO,O,Pells_1982,HVEM,cubic,53,8,0.48,15.999,0.5,6,2.1,3.63,293
MgO,Mg,Pells_1982,HVEM,cubic,60,12,1.6,24.305,0.5,6,2.1,3.63,293
MgO,O,Youngman_1980,HVEM,cubic,91,8,0.48,15.999,0.5,6,2.1,3.63,300
MgO,Mg,Youngman_1980,HVEM,cubic,61,12,1.6,24.305,0.5,6,2.1,3.63,300
MgO,O,Youngman_1980,HVEM,cubic,51,8,0.48,15.999,0.5,6,2.1,3.63,1000
MgO,Mg,Youngman_1980,HVEM,cubic,34,12,1.6,24.305,0.5,6,2.1,3.63,1000
MgO,O,Chen_1970,HVEM,cubic,60,8,0.48,15.999,0.5,6,2.1,3.63,78
MgO,O,Sharp_1973,HVEM,cubic,97,8,0.48,15.999,0.5,6,2.1,3.63,293
MgO,Mg,Sharp_1973,HVEM,cubic,64,12,1.6,24.305,0.5,6,2.1,3.63,293
MgO,O,Park_2000,MD,cubic,63.4,8,0.48,15.999,0.5,6,2.1,3.63,10
MgO,Mg,Park_2000,MD,cubic,115,12,1.6,24.305,0.5,6,2.1,3.63,10
MgO,O,Kittiratanawasin_2010,MD,cubic,92,8,0.48,15.999,0.5,6,2.1,3.63,0
MgO,Mg,Kittiratanawasin_2010,MD,cubic,88,12,1.6,24.305,0.5,6,2.1,3.63,0
MgO,O,Petersen_2017,AIMD,cubic,68,8,0.48,15.999,0.5,6,2.1,3.63,0
MgO,Mg,Petersen_2017,AIMD,cubic,82,12,1.6,24.305,0.5,6,2.1,3.63,0
MgO,O,Sonoda_1995(Park_2000),MD,cubic,168,8,0.48,15.999,0.5,6,2.1,3.63,NR
MgO,Mg,Sonoda_1995(Park_2000),MD,cubic,183,12,1.6,24.305,0.5,6,2.1,3.63,NR
MgO,O,Caufield_1995,luminiscense,cubic,55,8,0.48,15.999,0.5,6,2.1,3.63,NR
MgO,Mg,Caufield_1995,luminiscense,cubic,52,12,1.6,24.305,0.5,6,2.1,3.63,NR
Mn,Mn,ASTME54,MD,TBA,40,25,1.4,54.938044,1,16,2.84,7.26,NR
Mo,Mo,Lucasson_1962,RM,bcc,37,42,2.09,95.95,1,8,2.74,10.28,20
Mo,Mo,Biget_1974,DR,bcc,36,42,2.09,95.95,1,8,2.74,10.28,4.2
Mo,Mo,Maury_1975,MD,bcc,40,42,2.09,95.95,1,8,2.74,10.28,4.2
Mo,Mo,Paisanot_2002_1,MD,bcc,49,42,2.09,95.95,1,8,2.74,10.28,300
Mo,Mo,Paisanot_2002_2,MD,bcc,42,42,2.09,95.95,1,8,2.74,10.28,300
Mo,Mo,Zag_1983,HVEM,bcc,34,42,2.09,95.95,1,8,2.74,10.28,69
Mo,Mo,Zag_1983,HVEM,bcc,34,42,2.09,95.95,1,8,2.74,10.28,107
Mo,Mo,Zag_1983,HVEM,bcc,34,42,2.09,95.95,1,8,2.74,10.28,149
Mo,Mo,Zag_1983,HVEM,bcc,33,42,2.09,95.95,1,8,2.74,10.28,199
Mo,Mo,Zag_1983,HVEM,bcc,32,42,2.09,95.95,1,8,2.74,10.28,246
Mo,Mo,Zag_1983,HVEM,bcc,30,42,2.09,95.95,1,8,2.74,10.28,297
Mo,Mo,Zag_1983,HVEM,bcc,28,42,2.09,95.95,1,8,2.74,10.28,496
Mo,Mo,Zag_1983,HVEM,bcc,27,42,2.09,95.95,1,8,2.74,10.28,668
Mo,Mo,Zag_1983,HVEM,bcc,26,42,2.09,95.95,1,8,2.74,10.28,800
Mo,Mo,Phillipp_1979,HVEM,bcc,27,42,2.09,95.95,1,8,2.74,10.28,300
Mo,Mo,Banisalman_2019,MD,bcc,38,42,2.09,95.95,1,8,2.74,10.28,NR
MoZr,Mo,Jung_1975,RM,bcc,34,42,2.09,95.95,1,8,2.74,10.02,4.5
MoSi2,Mo,Zhang_2002,E,tetragonal,36,42,2.09,95.95,0.33,10,2.61,6.29,NR
MoSi2,Si,Zhang_2002,E,tetragonal,26,14,2.1,28.0855,0.67,10,2.62,6.29,NR
NaCl,Na,Torrens_1967,MD,cubic,80,11,1.9,22.989769,0.5,6,2.79,2.22,331
NaCl,Cl,Torrens_1967,MD,cubic,22.5,17,0.79,35.453,0.5,6,2.79,2.22,331
NaCl,Na,Kittiratanawasin_2010,MD,cubic,28,11,1.9,22.989769,0.5,6,2.79,2.22,0
NaCl,Cl,Kittiratanawasin_2010,MD,cubic,41,17,0.79,35.453,0.5,6,2.79,2.22,0
Nb,Nb,Youngblood_1969,RM,bcc,36,41,2.07,92.90638,1,8,2.87,8.57,24
Nb,Nb,Yang_2021,AIMD,bcc,28,41,2.07,92.90638,1,8,2.87,8.57,NR
Nb,Nb,Yang2021,MD,bcc,20,41,2.07,92.90638,1,8,2.87,8.57,NR
Nb,Nb,Phillipp_1979,HVEM,bcc,24,41,2.07,92.90638,1,8,2.87,8.57,300
Nb,Nb,Lin_2017,MD,bcc,41,41,2.07,92.90638,1,8,2.87,8.57,50
Nb,Nb,Lin_2017,MD,bcc,40,41,2.07,92.90638,1,8,2.87,8.57,300
Nb,Nb,Lin_2017,MD,bcc,39,41,2.07,92.90638,1,8,2.87,8.57,600
NbZr,Nb,Jung_1975,RM,bcc,28,41,2.07,92.906,1,8,2.87,8.45,4.5
Nb3Ge,Ge,Rullier-Albenque_1981,RM,TBA,15,32,1.25,72.64,0.25,12,2.89,8.44,20
Nb3Ge,Nb,Rullier-Albenque_1981,RM,TBA,19,41,1.98,92.90638,0.75,6,2.79,8.44,20
Ni,Ni,Lucasson_1962,RM,fcc,24,28,1.63,58.6934,1,12,2.46,8.908,20
Ni,Ni,Gao_1993,MD,fcc,38,28,1.63,58.6934,1,12,2.46,8.908,0
Ni,Ni,Liu_2015,AIMD,fcc,32,28,1.63,58.6934,1,12,2.46,8.908,0
Ni,Ni,Dimitrov_1994,RM,fcc,22,28,1.63,58.6934,1,12,2.46,8.908,23
Ni,Ni,Yang_2021,AIMD,fcc,27,28,1.63,58.6934,1,12,2.46,8.908,10
Ni,Ni,Yang_2021,MD,fcc,74,28,1.63,58.6934,1,12,2.46,8.908,10
NiAl10,Al,Dimitrov_1994,RM,cubic,22,13,1.84,26.9815,0.1,12,2.46,9.29,NR
NiAl10,Ni,Dimitrov_1994,RM,cubic,24,28,1.63,58.6934,0.9,12,2.46,9.29,NR
NiAl6,Al,Dimitrov_1994,RM,cubic,22,13,1.84,26.9815,0.06,12,2.46,9.29,21
NiAl6,Ni,Dimitrov_1994,RM,cubic,23,28,1.63,58.6934,0.94,12,2.46,9.29,21
Ni3Al,Ni,Dimitrov_1994,RM,cubic,24,28,1.63,58.6934,0.75,12,2.49,7.71,21
Ni3Al,Al,Dimitrov_1994,RM,cubic,30,13,1.43,26.9815,0.25,12,2.49,7.71,21
Ni3Al,Ni,Caro_1990,MD,cubic,37.27,28,1.63,58.6934,0.75,12,2.49,7.71,NR
Ni3Al,Al,Caro_1990,MD,cubic,75,13,1.43,26.9815,0.25,12,2.49,7.71,NR
Ni3Al,Ni,Gao_1995,MD,cubic,36,28,1.63,58.6934,0.75,12,2.49,7.71,100
Ni3Al,Al,Gao_1995,MD,cubic,44,13,1.43,26.9815,0.25,12,2.49,7.71,100
Ni3Al,Ni,Gao_1993,MD,cubic,34,28,1.63,58.6934,0.75,12,2.49,7.71,0
Ni3Al,Al,Gao_1993,MD,cubic,46,13,1.43,26.9815,0.25,12,2.49,7.71,0
Ni3Al,Ni,Bacon_Deng_1993,MD,cubic,42.46,28,1.63,58.6934,0.75,12,2.49,7.71,0
Ni3Al,Al,Bacon_Deng_1993,MD,cubic,49,13,1.43,26.9815,0.25,12,2.49,7.71,0
NiCo,Ni,Liu_2015,AIMD,cubic,35.67,28,1.63,58.6934,0.5,8,2.43,8.88,0
NiCo,Co,Liu_2015,AIMD,cubic,38,27,1.92,58.933195,0.5,8,2.43,8.88,0
Pb,Pb,Urban_1974,HVEM,cubic,7.5,82,1.54,207.2,1,12,3.53,11.34,86.5
Pb,Pb,ASTME54,MD,cubic,25,82,1.54,207.2,1,12,3.53,11.34,NR
Pd,Pd,Jimenez_1967,RM,hcp,34,46,2.02,106.42,1,12,2.77,12.023,9
Pt,Pt,Lowe_1966,CSS,cubic,37,78,1.77,195.084,1,12,2.79,21.45,NR
Si,Si,Loferski_1958,RM,bcc,12.9,14,2.1,28.0855,1,12,2.7,2.33,300
Si,Si,Hemment_1969,RM,fcc,22,14,2.1,28.0855,1,12,2.7,2.33,245
Si,Si,Windl_1998,MD,beta,13,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Windl_1998,MD,beta,11,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Windl_1998,MD,beta,15.7,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Sayed_1995,MD,beta,15.75,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Mazzarolo_2001,MD,beta,20.33,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Mazzarolo_2001,MD,beta,11.42,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Mazzarolo_2001,MD,beta,15.08,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Mazzarolo_2001,MD,beta,12.25,14,2.1,28.0855,1,12,2.7,2.33,0
Si,Si,Miller_1994,MD,fcc,15.6,14,2.1,28.0855,1,12,2.7,2.33,NR
Si,Si,Holmström_2008,AIMD,fcc,24,14,2.1,28.0855,1,12,2.7,2.33,NR
Si,Si,Uhlmann_1997,MD,fcc,23,14,2.1,28.0855,1,12,2.7,2.33,NR
Si,Si,Holmström_2009,AIMD,fcc,23,14,2.1,28.0855,1,12,2.7,2.33,NR
Si,Si,Holmström_2009,MD,fcc,20,14,2.1,28.0855,1,12,2.7,2.33,NR
Si,Si,Holmström_2009,MD,fcc,18,14,2.1,28.0855,1,12,2.7,2.33,NR
Si,Si,Holmström_2009,MD,fcc,13,14,2.1,28.0855,1,12,2.7,2.33,NR
SiC,C,Lucas_2005,AIMD,zincblende,19,6,0.67,12.011,0.5,4,1.89,3.23,NR
SiC,Si,Lucas_2005,AIMD,3C,38,14,2.1,28.0855,0.5,4,1.89,3.23,NR
SiC,C,Gao_2009,AIMD,beta,25.5,6,0.67,12.011,0.5,4,1.89,3.23,100
SiC,Si,Gao_2009,AIMD,beta,46.2,14,2.1,28.0855,0.5,4,1.89,3.23,100
SiC,C,Devanathan_1998,MD,beta,49.5,6,0.67,12.011,0.5,4,1.89,3.23,150
SiC,Si,Devanathan_1998,MD,beta,74.5,14,2.1,28.0855,0.5,4,1.89,3.23,150
SiC,Si,Honstvet_1980,HVEM,beta,66,14,2.1,28.0855,0.5,4,1.89,3.23,NR
SiC,Si,Inui_1990,HVEM,alpha,97,14,2.1,28.0855,0.5,4,1.89,3.23,220
SiC,C,Barry_1991,PE,6-H,21.8,6,0.67,12.011,0.5,4,1.89,3.23,293
SiC,C,El-azab_1992,MD,beta,16.3,6,0.67,12.011,0.5,4,1.89,3.23,55
SiC,Si,El-azab_1992,MD,beta,92.6,14,2.1,28.0855,0.5,4,1.89,3.23,55
SiC,C,Wong_1994,MD,beta,36.25,6,0.67,12.011,0.5,4,1.89,3.23,10
SiC,Si,Wong_1994,MD,beta,48.75,14,2.1,28.0855,0.5,4,1.89,3.23,10
SiC,C,Devanathan_2000,MD,beta,37,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Devanathan_2000,MD,beta,73,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Devanathan_2000,MD,alpha,31,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Devanathan_2000,MD,alpha,75,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Jiang_1999,HVEM,alpha,33,6,0.67,12.011,0.5,4,1.89,3.23,185
SiC,C,Windl_1998,MD,beta,27.5,6,0.67,12.011,0.5,4,1.89,3.23,0
SiC,Si,Windl_1998,MD,beta,36.9,14,2.1,28.0855,0.5,4,1.89,3.23,0
SiC,C,Windl_1998,MD,beta,13.33,6,0.67,12.011,0.5,4,1.89,3.23,0
SiC,Si,Windl_1998,MD,beta,77,14,2.1,28.0855,0.5,4,1.89,3.23,0
SiC,C,Windl_1998,MD,beta,22.375,6,0.67,12.011,0.5,4,1.89,3.23,0
SiC,Si,Windl_1998,MD,beta,49.5,14,2.1,28.0855,0.5,4,1.89,3.23,0
SiC,C,Liu_2023,MD,beta,22.75,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Liu_2023,MD,beta,36.75,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Liu_2023,MD,beta,30.25,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Liu_2023,MD,beta,39.5,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Liu_2023,MD,beta,14.5,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Liu_2023,MD,beta,22,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Liu_2023,MD,beta,25.75,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Liu_2023,MD,beta,28.63,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Liu_2023,MD,beta,65.25,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Liu_2023,MD,beta,33.25,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Liu_2023,MD,beta,15.5,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Liu_2023,MD,beta,32,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Perlado_1997,MD,beta,31.67,6,0.67,12.011,0.5,4,1.89,3.23,NR
SiC,Si,Perlado_1997,MD,beta,45,14,2.1,28.0855,0.5,4,1.89,3.23,NR
SiC,C,Perlado_2000,MD,beta,42.63,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Perlado_2000,MD,beta,72.5,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Devanathan_2001,MD,beta,36.96,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Devanathan_2001,MD,beta,73.42,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,C,Malerba_2000,MD,beta,37.25,6,0.67,12.011,0.5,4,1.89,3.23,300
SiC,Si,Malerba_2000,MD,beta,55.88,14,2.1,28.0855,0.5,4,1.89,3.23,300
SiC,Si,Lefevre_2009,PE,beta,25,14,2.1,28.0855,0.5,4,1.89,3.23,293
SiC,C,Wu_1994,MD,beta,55,6,0.67,12.011,0.5,4,1.89,3.23,NR
SiC,Si,Hudson_1973,TEM,beta,110,14,2.1,28.0855,0.5,4,1.89,3.23,890
SiO2,O,Mota_2004,MD,TBA,30,8,0.48,15.999,0.67,2,1.6,2.63,NR
SiO2,O,Wang_2015,MD,TBA,29,8,0.48,15.999,0.67,2,1.6,2.63,0
SiO2,Si,Wang_2015,MD,TBA,71,14,1.11,28.0855,0.33,4,1.6,2.63,0
SiO2,O,Arnold_1965,OAL,quartz,32.5,8,0.48,15.999,0.67,2,1.6,2.63,77
SiO2,Si,Arnold_1965,OAL,quartz,20,14,1.11,28.0855,0.33,4,1.6,2.63,77
SmS,Sm,Lesueur_1983,CSA,TBA,20,62,2.38,150.36,0.5,5,2.8,3.7,21
SmS,S,Lesueur_1983,CSA,TBA,90,16,0.88,32.065,0.5,5,2.8,3.7,21
Sn,Sn,Mcilwain_1975,RM,beta,22,50,1.45,118.71,1,6,3.1,7.31,4.2
SrO,Sr,Kittiratanawasin_2010,MD,cubic,49,38,2.19,87.62,0.5,6,2.58,4.99,0
SrO,O,Kittiratanawasin_2010,MD,cubic,67,8,0.48,15.999,0.5,6,2.58,4.99,0
SrTiO3,O,Thomas_2007,MD,cubic,50,8,0.48,15.999,0.6,6,2.5,5.0368915,300
SrTiO3,Sr,Thomas_2007,MD,cubic,70,38,2.19,87.62,0.2,12,2.77,5.0368915,300
SrTiO3,Ti,Thomas_2007,MD,cubic,140,22,1.76,47.867,0.2,6,1.96,5.0368915,300
SrTiO3,O,Liu_2013,AIMD,cubic,36,8,0.48,15.999,0.6,6,2.5,5.058122462,0
SrTiO3,Sr,Liu_2013,AIMD,cubic,54,38,2.19,87.62,0.2,12,2.77,5.058122462,0
SrTiO3,O,Cooper_2001,TRCS,cubic,45,8,0.48,15.999,0.6,6,2.5,5.058122462,293
Ta,Ta,Meissner_1971,RM,bcc,32,73,2.17,180.94788,1,8,2.87,16.65,4.5
Ta,Ta,Jung_1972,RM,bcc,44.5,73,2.17,180.94788,1,8,2.87,16.65,293
Ta,Ta,Youngblood_1969,RM,bcc,32,73,2.17,180.94788,1,8,2.87,16.65,6
Ta,Ta,Salman_2023,MD,bcc,60,73,2.17,180.94788,1,8,2.87,16.65,0
Ta,Ta,Saile_1985,HVEM,bcc,22,73,2.17,180.94788,1,8,2.87,16.65,51
Ta,Ta,Saile_1985,HVEM,bcc,21,73,2.17,180.94788,1,8,2.87,16.65,105
Ta,Ta,Saile_1985,HVEM,bcc,19,73,2.17,180.94788,1,8,2.87,16.65,150
Ta,Ta,Saile_1985,HVEM,bcc,19,73,2.17,180.94788,1,8,2.87,16.65,190
Ta,Ta,Saile_1985,HVEM,bcc,18,73,2.17,180.94788,1,8,2.87,16.65,279
Ta,Ta,Phillipp_1979,HVEM,bcc,18,73,2.17,180.94788,1,8,2.87,16.65,300
Ta,Ta,Biget_1979,RM,bcc,45.5,73,2.17,180.94788,1,8,2.87,16.65,5
Ta0.70W0.30,Ta,Salman_2023,MD,TBA,68,73,2,180.94788,0.7,4,2.78,17.99,0
Ta0.75W0.25,Ta,Salman_2023,MD,TBA,72,73,2,180.94788,0.75,4,2.78,17.99,0
Ta0.80W0.20,Ta,Salman_2023,MD,TBA,76,73,2,180.94788,0.8,4,2.78,17.99,0
Ta0.85W0.15,Ta,Salman_2023,MD,TBA,70,73,2,180.94788,0.85,4,2.78,17.99,0
Ta0.90W0.10,Ta,Salman_2023,MD,TBA,65,73,2,180.94788,0.9,4,2.78,17.99,0
Ta0.95W0.05,Ta,Salman_2023,MD,TBA,50,73,2,180.94788,0.95,4,2.78,17.99,0
TaC,Ta,Gosset_1991,RM,cubic,42,73,2,180.94788,0.5,6,2.23,14.37,21
TaC,C,Gosset_1991,RM,cubic,28,6,0.67,12.011,0.5,6,2.23,14.37,21
TaC,C,Allison_1988,RM,cubic,23,6,0.67,12.011,0.5,6,2.23,14.37,293
TaC,Ta,Lesueur_1983,CSA,cubic,25,73,2,180.94788,0.5,6,2.23,14.37,21
TaC,C,Lesueur_1983,CSA,cubic,4,6,0.67,12.011,0.5,6,2.23,14.37,21
TaC0.8,Ta,Gosset_1991,RM,cubic,32,73,2,180.94788,0.65,6,2.23,14.37,21
TaC0.8,C,Gosset_1991,RM,cubic,28,6,0.67,12.011,0.45,6,2.23,14.37,21
TaS2,S,Lesueur_1983,CSA,TBA,14,16,0.88,32.065,0.67,3,2.47,6.66,21
TaS3,Ta,Lesueur_1983,CSA,TBA,16,73,2.17,180.94788,0.25,8,2.53,5.88,21
Th,Th,Guinan_1973,RM,cubic,35,90,1.8,232.03806,1,12,3.57,11.724,10
ThO2,O,Xiao_2012,AIMD,cubic,25.17,8,0.48,15.999,0.67,4,2.43,9.98,100
ThO2,Th,Xiao_2012,AIMD,cubic,54.5,90,1.8,232.03806,0.33,8,2.43,9.98,100
Ti,Ti,Lucasson_1962,RM,hcp,29,22,1.87,47.867,1,14,2.99,4.507,NR
Ti,Ti,Shirley_1972,RM,hcp,19,22,1.87,47.867,1,14,2.99,4.507,293
Ti,Ti,Bacon_1993,MD,hcp,29,22,1.87,47.867,1,14,2.99,4.507,0
Ti,Ti,Wooding_1994,MD,hcp,31,22,1.87,47.867,1,14,2.99,4.507,100
Ti,Ti,Karim_1978,HVEM,hcp,22.3,22,1.87,47.867,1,14,2.99,4.507,NR
Ti,Ti,Yang_2021,AIMD,hcp,23,22,1.87,47.867,1,14,2.99,4.507,NR
Ti,Ti,Yang_2021,MD,hcp,12,22,1.87,47.867,1,14,2.99,4.507,NR
Ti3SiC2,Ti,Liu_2016,AIMD,hexagonal,26,22,1.87,47.867,0.5,6,2.4,4.5,0
Ti3SiC2,Si,Liu_2016,AIMD,hexagonal,31,14,2.1,28.0855,0.17,6,2.7,4.5,0
Ti3SiC2,C,Liu_2016,AIMD,hexagonal,28,6,0.67,12.011,0.33,6,2.19,4.5,0
TiAl,Ti,Wang_1997,MD,cubic,27.5,22,1.87,47.867,0.5,8,2.75,3.87,NR
TiAl,Al,Wang_1997,MD,cubic,34.08,13,1.43,26.9815,0.5,8,2.75,3.87,NR
TiO2,O,Smith_2001,TRCS,rutile,39,8,0.48,15.999,0.666666667,3,1.96,4.24,293
TiO2,O,Thomas_2005,MD,rutile,40,8,0.48,15.999,0.666666667,3,1.96,4.24,160
TiO2,Ti,Thomas_2005,MD,rutile,105,22,1.76,47.867,0.333333333,6,1.96,4.24,160
TiO2,Ti,Buck_1995,HVEM,rutile,49.16666667,22,1.76,47.867,0.333333333,6,1.96,4.24,293
TiO2,O,Richardson_1983,MD,rutile,40,8,0.48,15.999,0.666666667,3,1.96,4.24,NR
TiO2,Ti,Richardson_1983,MD,rutile,65,22,1.76,47.867,0.333333333,6,1.96,4.24,NR
TiO2,O,Robinson_2012,MD,rutile,19,8,0.48,15.999,0.666666667,3,1.96,4.24,300
TiO2,Ti,Robinson_2012,MD,rutile,69,22,1.76,47.867,0.333333333,6,1.96,4.24,300
U1,U,Beeler_2018,MD,alpha (bcc),66.3,92,2.4,238.02891,1,8,2.48,19.05,600
U1,U,Chen_2019,MD,alpha (bcc),71,92,2.4,238.02891,1,8,2.48,19.05,300
U2,U,Beeler_2018,MD,gamma (fcc),73.2,92,2.4,238.02891,1,8,2.9,21.15,800
U2,U,Beeler_2018,MD,gamma (fcc),47.1,92,2.4,238.02891,1,8,2.9,21.15,800
U2,U,Beeler_2018,MD,gamma (fcc),35.6,92,2.4,238.02891,1,8,2.9,21.15,800
UAl3,Al,Yang_2019,MD,TBA,41,13,1.43,26.9815,0.75,12,3.03,6.76,NR
UAl3,U,Yang_2019,MD,TBA,20,92,2.4,238.02891,0.25,12,3.03,6.76,NR
UO2,O,Meis_2005,MD,cubic,20,8,0.48,15.999,0.67,4,2.36,11.06,300
UO2,U,Meis_2005,MD,cubic,50,92,2.4,238.02891,0.33,8,2.36,11.06,300
UO2,O,Soullard_1985,HVEM,cubic,20,8,0.48,15.999,0.67,4,2.36,11.06,293
UO2,U,Soullard_1985,HVEM,cubic,40,92,2.4,238.02891,0.33,8,2.36,11.06,293
UO2,O,Benjamin_2019,MD,cubic,20,8,0.48,15.999,0.67,4,2.36,11.06,1500
UO2,U,Benjamin_2019,MD,cubic,40,92,2.4,238.02891,0.33,8,2.36,11.06,1500
UO2,O,Dacus_2019,MD,cubic,45,8,0.48,15.999,0.67,4,2.36,11.06,1500
UO2,U,Dacus_2019,MD,cubic,45,92,2.4,238.02891,0.33,8,2.36,11.06,1500
UO2,O,Bishop_2012,MD,cubic,40,8,0.48,15.999,0.67,4,2.36,11.06,NR
UO2,U,Bishop_2012,MD,cubic,120,92,2.4,238.02891,0.33,8,2.36,11.06,NR
UO2,U,Lee_2019,MD,cubic,65,92,2.4,238.02891,0.33,8,2.36,11.06,NR
V,V,Miller_1974,RM,hcp,26,23,1.79,50.9415,1,8,2.58,6.11,20
V,V,Kenik_1975,HVEM,bcc,34.33,23,1.79,50.9415,1,8,2.58,6.11,293
V,V,Zepeda_2003,MD,bcc,26.83,23,1.79,50.9415,1,8,2.58,6.11,300
V,V,Phuong_2021,MD,bcc,29,23,1.79,50.9415,1,8,2.58,6.11,300
