Type,label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
ceramic,Gd2Ti2O7_Gd,84.0,30,64,8,0.18,2.44,6.56,157.25,233
ceramic,Gd2Ti2O7_Gd,84.0,300,64,8,0.18,2.44,6.56,157.25,233
ceramic,Gd2Ti2O7_O,52.0,30,8,4,0.64,2.24,6.56,15.999,48
ceramic,Gd2Ti2O7_O,52.0,300,8,4,0.64,2.24,6.56,15.999,48
ceramic,Gd2Ti2O7_Ti,205.0,30,22,6,0.18,1.97,6.56,47.867,176
ceramic,Gd2Ti2O7_Ti,205.0,300,22,6,0.18,1.97,6.56,47.867,176
ceramic,Gd2Zr2O7_Gd,72.0,30,64,8,0.18,2.48,6.84,157.25,233
ceramic,Gd2Zr2O7_Gd,72.0,300,64,8,0.18,2.48,6.84,157.25,233
ceramic,Gd2Zr2O7_O,52.0,30,8,4,0.64,2.32,6.84,15.999,48
ceramic,Gd2Zr2O7_O,41.0,300,8,4,0.64,2.32,6.84,15.999,48
ceramic,Gd2Zr2O7_Zr,121.0,30,40,6,0.18,2.09,6.84,91.224,206
ceramic,Gd2Zr2O7_Zr,121.0,300,40,6,0.18,2.09,6.84,91.224,206
ceramic,HfO2_O,14.0,293,8,4,0.67,2.14,10.63,15.999,48
ceramic,La2Zr2O7_La,5.4,293,57,8,0.181818182,2.565,6.02,138.90547,240
ceramic,La2Zr2O7_La,153.0,350,57,8,0.181818182,2.565,6.02,138.90547,240
ceramic,La2Zr2O7_O,47.0,293,8,4,0.636363636,2.45125,6.02,15.999,48
ceramic,La2Zr2O7_O,49.33333333,350,8,4,0.636363636,2.45125,6.02,15.999,48
ceramic,La2Zr2O7_Zr,8.2,293,40,6,0.181818182,2.11,6.02,91.224,206
ceramic,La2Zr2O7_Zr,188.0,350,40,6,0.181818182,2.11,6.02,91.224,206
ceramic,LaPO4_La,56.0,300,57,9,0.17,2.64,5.07,138.90547,240
ceramic,LaPO4_O,8.0,300,8,4,0.66,2.1,5.07,15.999,48
ceramic,LaPO4_P,75.0,300,15,4,0.17,1.54,5.07,30.973762,98
ceramic,LiAlO2_Al,79.0,0,13,6,0.25,1.91,3.44,26.9815384,118
ceramic,LiAlO2_Li,28.0,0,3,6,0.25,2.09,3.44,6.94,167
ceramic,LiAlO2_O,52.0,0,8,6,0.5,2.0,3.44,15.999,48
ceramic,LiF_Li,1.64,77,3,6,0.5,2.04,2.53,6.94,167
ceramic,LiFe5O8_Fe,31.6,0,26,5,0.36,2.0,4.5,55.845,156
ceramic,LiFe5O8_Li,38.9,0,3,6,0.07,2.13,4.5,6.94,167
ceramic,LiFe5O8_O,34.6,0,8,4,0.57,2.07,4.5,15.999,48
ceramic,LiNbO3_O,53.0,288,8,3,0.6,2.1,4.39,15.999,48
ceramic,MgAl2O4_O,59.0,77,8,4,0.571428571,1.92,3.58,15.999,48
ceramic,MgO_Mg,85.0,0,12,6,0.5,2.1,3.63,24.305,145
ceramic,MgO_Mg,115.0,10,12,6,0.5,2.1,3.63,24.305,145
ceramic,MgO_Mg,34.0,1000,12,6,0.5,2.1,3.63,24.305,145
ceramic,MgO_Mg,62.0,293,12,6,0.5,2.1,3.63,24.305,145
ceramic,MgO_Mg,61.0,300,12,6,0.5,2.1,3.63,24.305,145
ceramic,MgO_O,80.0,0,8,6,0.5,2.1,3.63,15.999,48
ceramic,MgO_O,63.4,10,8,6,0.5,2.1,3.63,15.999,48
ceramic,MgO_O,51.0,1000,8,6,0.5,2.1,3.63,15.999,48
ceramic,MgO_O,75.0,293,8,6,0.5,2.1,3.63,15.999,48
ceramic,MgO_O,91.0,300,8,6,0.5,2.1,3.63,15.999,48
ceramic,MgO_O,60.0,78,8,6,0.5,2.1,3.63,15.999,48
ceramic,Nb3Ge_Ge,15.0,20,32,12,0.25,2.89,8.44,72.63,125
ceramic,Nb3Ge_Nb,19.0,20,41,6,0.75,2.79,8.44,92.90637,198
ceramic,SiC_C,21.06833333333333,0,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_C,36.25,10,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_C,25.5,100,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_C,49.5,150,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_C,33.0,185,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_C,21.8,293,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_C,32.621818181818185,300,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_C,16.3,55,6,4,0.5,1.89,3.23,12.011,67
ceramic,SiC_Si,54.46666666666667,0,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,48.75,10,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,46.2,100,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,74.5,150,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,97.0,220,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,25.0,293,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,49.26636363636363,300,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,92.6,55,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiC_Si,110.0,890,14,4,0.5,1.89,3.23,28.085,111
ceramic,SiO2_O,29.0,0,8,2,0.67,1.6,2.63,15.999,48
ceramic,SiO2_O,32.5,77,8,2,0.67,1.6,2.63,15.999,48
ceramic,SiO2_Si,71.0,0,14,4,0.33,1.6,2.63,28.085,111
ceramic,SiO2_Si,20.0,77,14,4,0.33,1.6,2.63,28.085,111
ceramic,SmS_S,90.0,21,16,5,0.5,2.8,3.7,32.06,88
ceramic,SmS_Sm,20.0,21,62,5,0.5,2.8,3.7,150.36,238
ceramic,SrO_O,67.0,0,8,6,0.5,2.58,4.99,15.999,48
ceramic,SrO_Sr,49.0,0,38,6,0.5,2.58,4.99,87.62,219
ceramic,SrTiO3_O,36.0,0,8,6,0.6,2.5,5.0368915,15.999,48
ceramic,SrTiO3_O,45.0,293,8,6,0.6,2.5,5.0368915,15.999,48
ceramic,SrTiO3_O,50.0,300,8,6,0.6,2.5,5.0368915,15.999,48
ceramic,SrTiO3_Sr,54.0,0,38,12,0.2,2.77,5.0368915,87.62,219
ceramic,SrTiO3_Sr,70.0,300,38,12,0.2,2.77,5.0368915,87.62,219
ceramic,SrTiO3_Ti,140.0,300,22,6,0.2,1.96,5.0368915,47.867,176
ceramic,TaC0.8_C,28.0,21,6,6,0.45,2.23,14.37,12.011,67
ceramic,TaC0.8_Ta,32.0,21,73,6,0.65,2.23,14.37,180.94788,200
ceramic,TaC_C,16.0,21,6,6,0.5,2.23,14.37,12.011,67
ceramic,TaC_C,23.0,293,6,6,0.5,2.23,14.37,12.011,67
ceramic,TaC_Ta,33.5,21,73,6,0.5,2.23,14.37,180.94788,200
ceramic,ThO2_O,25.17,100,8,4,0.67,2.43,9.98,15.999,48
ceramic,ThO2_Th,54.5,100,90,8,0.33,2.43,9.98,232.0377,237
ceramic,Ti3SiC2_C,28.0,0,6,6,0.33,2.19,4.5,12.011,67
ceramic,Ti3SiC2_Si,31.0,0,14,6,0.17,2.7,4.5,28.085,111
ceramic,Ti3SiC2_Ti,26.0,0,22,6,0.5,2.4,4.5,47.867,176
ceramic,TiO2_O,40.0,160,8,3,0.666666667,1.96,4.24,15.999,48
ceramic,TiO2_O,39.0,293,8,3,0.666666667,1.96,4.24,15.999,48
ceramic,TiO2_O,19.0,300,8,3,0.666666667,1.96,4.24,15.999,48
ceramic,TiO2_Ti,105.0,160,22,6,0.333333333,1.96,4.24,47.867,176
ceramic,TiO2_Ti,49.16666667,293,22,6,0.333333333,1.96,4.24,47.867,176
ceramic,TiO2_Ti,69.0,300,22,6,0.333333333,1.96,4.24,47.867,176
ceramic,UO2_O,32.5,1500,8,4,0.67,2.36,11.06,15.999,48
