label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
SmS_Sm,20.0,62,5,0.5,2.8,3.7,150.36,238
SrO_O,67.0,8,6,0.5,2.58,4.99,15.999,48
SrO_Sr,49.0,38,6,0.5,2.58,4.99,87.62,219
SrTiO3_O,43.666666666666664,8,6,0.6,2.5,5.0368915,15.999,48
SrTiO3_Sr,62.0,38,12,0.2,2.77,5.0368915,87.62,219
SrTiO3_Ti,140.0,22,6,0.2,1.96,5.0368915,47.867,176
TaC0.8_C,28.0,6,6,0.45,2.23,14.37,12.011,67
TaC0.8_Ta,32.0,73,6,0.65,2.23,14.37,180.94788,200
TaC_C,18.333333333333332,6,6,0.5,2.23,14.37,12.011,67
TaC_Ta,33.5,73,6,0.5,2.23,14.37,180.94788,200
ThO2_O,25.17,8,4,0.67,2.43,9.98,15.999,48
ThO2_Th,54.5,90,8,0.33,2.43,9.98,232.0377,237
Ti3SiC2_C,28.0,6,6,0.33,2.19,4.5,12.011,67
Ti3SiC2_Si,31.0,14,6,0.17,2.7,4.5,28.085,111
Ti3SiC2_Ti,26.0,22,6,0.5,2.4,4.5,47.867,176
TiO2_O,34.5,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_Ti,72.0416666675,22,6,0.333333333,1.96,4.24,47.867,176
UO2_O,29.0,8,4,0.67,2.36,11.06,15.999,48
UO2_U,60.0,92,8,0.33,2.36,11.06,238.02891,240
Y2Ti2O7_O,31.8,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_Ti,28.53333333333333,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Y,25.400000000000002,39,8,0.181818182,2.4075,4.97,88.905838,212
Y3Al5O12_Al,52.0,13,5,0.25,1.85,4.56,26.9815384,118
Y3Al5O12_O,22.0,8,4,0.6,2.12,4.56,15.999,48
Y3Al5O12_Y,47.0,39,8,0.15,2.38,4.56,88.905838,212
Y4Zr3O12_O,18.33,8,3,0.63,2.24,5.48,15.999,48
Y4Zr3O12_Y,59.0,39,7,0.21,2.32,5.48,88.905838,212
Y4Zr3O12_Zr,54.5,40,6,0.16,2.21,5.48,91.224,206
YBa2Cu3O7_Ba,39.09,56,10,0.16,2.87,6.2,137.327,253
YBa2Cu3O7_Cu,17.62,29,4,0.22,1.88,6.2,63.546,145
YBa2Cu3O7_O,14.333333333333334,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_Y,42.485,39,8,0.08,2.41,6.2,88.905838,212
YSZ_O,80.0,8,4,0.66,2.2,6.21,15.999,48
YSZ_Y,80.0,39,8,0.04,2.2,6.21,88.905838,212
YSZ_Zr,80.0,40,8,0.3,2.2,6.21,91.224,206
ZnO_O,55.325,8,4,0.5,1.97,5.7,15.999,48
ZnO_Zn,46.8,30,4,0.5,1.97,5.7,65.38,142
ZrC3_C,18.0,6,4,0.67,2.21,6.3092,12.011,67
ZrC3_Zr,37.0,40,4,0.33,2.21,6.3092,91.224,206
ZrC_C,16.0,6,4,0.5,2.21,6.61,12.011,67
ZrC_Zr,37.0,40,4,0.5,2.21,6.61,91.224,206
ZrN_N,29.0,7,6,0.5,2.29,7.23,14.007,56
ZrN_Zr,33.0,40,6,0.5,2.29,7.23,91.224,206
ZrO2_O,23.0,8,4,0.67,2.2,6.21,15.999,48
ZrO2_Zr,59.63,40,8,0.33,2.2,6.21,91.224,206
ZrSiO4_O,56.78979591857143,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_Si,71.66428571428571,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Zr,99.22040815714286,40,8,0.166666667,2.205,4.63,91.224,206
