label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
La2Zr2O7_O,49.33333333,8,4,0.636363636,2.45125,6.02,15.999,48
La2Zr2O7_Zr,188.0,40,6,0.181818182,2.11,6.02,91.224,206
LaPO4_La,56.0,57,9,0.17,2.64,5.07,138.90547,240
LaPO4_O,8.0,8,4,0.66,2.1,5.07,15.999,48
LaPO4_P,75.0,15,4,0.17,1.54,5.07,30.973762,98
Li2TiO3_Li,12.0,3,6,0.3,2.13,3.46,6.94,167
Li2TiO3_O,58.7,8,6,0.5,2.04,3.46,15.999,48
Li2TiO3_Ti,31.3,22,6,0.2,1.96,3.46,47.867,176
LiAlO2_Al,79.0,13,6,0.25,1.91,3.44,26.9815384,118
LiAlO2_Li,28.0,3,6,0.25,2.09,3.44,6.94,167
LiAlO2_O,52.0,8,6,0.5,2.0,3.44,15.999,48
LiF_Li,1.64,3,6,0.5,2.04,2.53,6.94,167
LiFe5O8_Fe,31.6,26,5,0.36,2.0,4.5,55.845,156
LiFe5O8_Li,38.9,3,6,0.07,2.13,4.5,6.94,167
LiFe5O8_O,34.6,8,4,0.57,2.07,4.5,15.999,48
MgAl2O4_Al,51.0,13,6,0.285714286,1.92,3.58,26.9815384,118
MgAl2O4_Mg,60.0,12,4,0.142857143,1.94,3.58,24.305,145
MgAl2O4_O,46.2,8,4,0.571428571,1.92,3.58,15.999,48
MgO_Mg,103.1,12,6,0.5,2.1,3.63,24.305,145
MgO_O,86.58,8,6,0.5,2.1,3.63,15.999,48
Mn_Mn,40.0,25,16,1.0,2.84,7.26,54.938043,161
Mo_Mo,42.25,42,8,1.0,2.74,10.28,95.95,190
NaCl_Cl,31.75,17,6,0.5,2.79,2.22,35.45,79
NaCl_Na,54.0,11,6,0.5,2.79,2.22,22.98976928,190
Nb_Nb,33.6,41,8,1.0,2.87,8.57,92.90637,198
Ni3Al_Al,53.5,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Ni,37.432500000000005,28,12,0.75,2.49,7.71,58.6934,149
NiCo_Co,38.0,27,8,0.5,2.43,8.88,58.933194,152
NiCo_Ni,35.67,28,8,0.5,2.43,8.88,58.6934,149
Ni_Ni,42.75,28,12,1.0,2.46,8.908,58.6934,149
Pb_Pb,25.0,82,12,1.0,3.53,11.34,207.2,154
SiC_C,31.203095238095237,6,4,0.5,1.89,3.23,12.011,67
SiC_Si,52.51899999999999,14,4,0.5,1.89,3.23,28.085,111
