label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Ti3SiC2_Ti,26.0,0,22,6,0.5,2.4,4.5,47.867,176
TiO2_O,40.0,160,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_O,39.0,293,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_O,19.0,300,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_Ti,105.0,160,22,6,0.333333333,1.96,4.24,47.867,176
TiO2_Ti,49.16666667,293,22,6,0.333333333,1.96,4.24,47.867,176
TiO2_Ti,69.0,300,22,6,0.333333333,1.96,4.24,47.867,176
UO2_O,32.5,1500,8,4,0.67,2.36,11.06,15.999,48
UO2_O,20.0,293,8,4,0.67,2.36,11.06,15.999,48
UO2_O,20.0,300,8,4,0.67,2.36,11.06,15.999,48
UO2_U,42.5,1500,92,8,0.33,2.36,11.06,238.02891,240
UO2_U,40.0,293,92,8,0.33,2.36,11.06,238.02891,240
UO2_U,50.0,300,92,8,0.33,2.36,11.06,238.02891,240
Y2Ti2O7_O,16.6,100,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_O,47.0,293,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_Ti,34.8,100,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Ti,16.0,293,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Y,33.900000000000006,100,39,8,0.181818182,2.4075,4.97,88.905838,212
Y2Ti2O7_Y,8.4,293,39,8,0.181818182,2.4075,4.97,88.905838,212
Y3Al5O12_Al,52.0,300,13,5,0.25,1.85,4.56,26.9815384,118
Y3Al5O12_O,22.0,300,8,4,0.6,2.12,4.56,15.999,48
Y3Al5O12_Y,47.0,300,39,8,0.15,2.38,4.56,88.905838,212
Y4Zr3O12_O,18.33,300,8,3,0.63,2.24,5.48,15.999,48
Y4Zr3O12_Y,59.0,300,39,7,0.21,2.32,5.48,88.905838,212
Y4Zr3O12_Zr,54.5,300,40,6,0.16,2.21,5.48,91.224,206
YBa2Cu3O7_Ba,40.98,25,56,10,0.16,2.87,6.2,137.327,253
YBa2Cu3O7_Cu,17.62,25,29,4,0.22,1.88,6.2,63.546,145
YBa2Cu3O7_O,11.5,0,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_O,18.8,25,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_Y,38.97,25,39,8,0.08,2.41,6.2,88.905838,212
YSZ_O,120.0,293,8,4,0.66,2.2,6.21,15.999,48
YSZ_O,40.0,310,8,4,0.66,2.2,6.21,15.999,48
YSZ_Y,80.0,293,39,8,0.04,2.2,6.21,88.905838,212
YSZ_Zr,80.0,293,40,8,0.3,2.2,6.21,91.224,206
YSZ_Zr,80.0,310,40,8,0.3,2.2,6.21,91.224,206
ZnO_O,57.0,293,8,4,0.5,1.97,5.7,15.999,48
ZnO_O,57.0,313.15,8,4,0.5,1.97,5.7,15.999,48
ZnO_Zn,57.0,313.15,30,4,0.5,1.97,5.7,65.38,142
ZrC3_C,18.0,300,6,4,0.67,2.21,6.3092,12.011,67
